Name,CountDeclClass,CountDeclFile,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmtDecl,CountStmtExe,RatioCommentToCode,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
Directory Structure,1098,717,24001,137860,27868,106072,3943,34528,45250,"0,04",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms,92,56,1833,10120,2122,7796,203,2569,3321,"0,03",0,0,"0,00","0,00"
Directory Structure/mall-admin-oms,80,56,2470,13766,2771,10753,243,3279,4721,"0,02",0,0,"0,00","0,00"
Directory Structure/mall-admin-pms,158,102,3418,19391,3899,15037,456,4885,6391,"0,03",0,0,"0,00","0,00"
Directory Structure/mall-admin-sms,121,82,2165,12771,2522,9868,382,3287,4105,"0,04",0,0,"0,00","0,00"
Directory Structure/mall-admin-ums,193,118,3902,22146,4459,17167,521,5673,7260,"0,03",0,0,"0,00","0,00"
Directory Structure/mall-common,7,7,43,323,54,195,74,81,59,"0,38",0,0,"0,00","0,00"
Directory Structure/mall-gateway,4,4,5,210,38,137,36,71,35,"0,26",0,0,"0,00","0,00"
Directory Structure/mall-mbg,2,2,5,111,11,70,31,38,26,"0,44",0,0,"0,00","0,00"
Directory Structure/mall-monitor,2,2,3,59,9,38,13,17,5,"0,34",0,0,"0,00","0,00"
Directory Structure/mall-portal-content,16,13,286,1751,350,1307,96,446,541,"0,07",0,0,"0,00","0,00"
Directory Structure/mall-portal-coupon,90,51,2062,11681,2440,8880,363,2846,3878,"0,04",0,0,"0,00","0,00"
Directory Structure/mall-portal-member,102,69,2026,11857,2412,9044,404,3047,3741,"0,04",0,0,"0,00","0,00"
Directory Structure/mall-portal-order,67,48,2100,12689,2417,9749,527,3029,4362,"0,05",0,0,"0,00","0,00"
Directory Structure/mall-portal-product,138,81,3533,19333,4132,14908,294,4726,6509,"0,02",0,0,"0,00","0,00"
Directory Structure/mall-security,16,16,118,1190,174,778,239,360,207,"0,31",0,0,"0,00","0,00"
Directory Structure/mall-storage,10,10,32,462,58,345,61,174,89,"0,18",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-common,4,4,6,139,29,57,53,41,0,"0,93",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-mbg,74,38,1779,9342,1997,7315,31,2315,3230,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server,14,14,48,639,96,424,119,213,91,"0,28",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-common/src,4,4,6,139,29,57,53,41,0,"0,93",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-common/src/main,4,4,6,139,29,57,53,41,0,"0,93",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-common/src/main/java,4,4,6,139,29,57,53,41,0,"0,93",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-common/src/main/java/com,4,4,6,139,29,57,53,41,0,"0,93",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-common/src/main/java/com/mtcarpenter,4,4,6,139,29,57,53,41,0,"0,93",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-common/src/main/java/com/mtcarpenter/mall,4,4,6,139,29,57,53,41,0,"0,93",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-common/src/main/java/com/mtcarpenter/mall/client,2,2,6,91,15,33,43,23,0,"1,30",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-common/src/main/java/com/mtcarpenter/mall/common,2,2,0,48,14,24,10,18,0,"0,42",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-mbg/src,74,38,1779,9342,1997,7315,31,2315,3230,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-mbg/src/main,74,38,1779,9342,1997,7315,31,2315,3230,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-mbg/src/main/java,74,38,1779,9342,1997,7315,31,2315,3230,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-mbg/src/main/java/com,74,38,1779,9342,1997,7315,31,2315,3230,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-mbg/src/main/java/com/mtcarpenter,74,38,1779,9342,1997,7315,31,2315,3230,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-mbg/src/main/java/com/mtcarpenter/mall,74,38,1779,9342,1997,7315,31,2315,3230,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-mbg/src/main/java/com/mtcarpenter/mall/mapper,12,12,140,376,152,224,0,212,0,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-mbg/src/main/java/com/mtcarpenter/mall/model,60,24,1634,8855,1834,7021,0,2065,3204,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src,14,14,48,639,96,424,119,213,91,"0,28",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/main,13,13,47,614,89,406,119,202,90,"0,29",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/test,1,1,1,25,7,18,0,11,1,"0,00",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/main/java,13,13,47,614,89,406,119,202,90,"0,29",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/main/java/com,13,13,47,614,89,406,119,202,90,"0,29",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/main/java/com/mtcarpenter,13,13,47,614,89,406,119,202,90,"0,29",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/main/java/com/mtcarpenter/mall,13,13,47,614,89,406,119,202,90,"0,29",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/main/java/com/mtcarpenter/mall/component,1,1,2,43,3,36,4,17,9,"0,11",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/main/java/com/mtcarpenter/mall/config,2,2,6,92,10,72,10,31,17,"0,14",0,0,"0,00","0,00"
Directory Structure/mall-admin-cms/cms-server/src/main/java/com/mtcarpenter/mall/controller,3,3,10,161,24,124,13,51,19,"0,10",0,0,"0,00","0,00"
