"File","Dependant (Out)","Depends upon (In)","Weight"
"RuoYi-Cloud/ruoyi-api/ruoyi-api-system/src/main/java/com/ruoyi/system/api/domain/SysRole.java","com.ruoyi.system.api.domain.SysRole","com.ruoyi.common.core.web.domain.BaseEntity, com.ruoyi.common.core.annotation.Excel, com.ruoyi.common.core.web.domain.BaseEntity, com.ruoyi.common.core.annotation.Excel","6"
"RuoYi-Cloud/ruoyi-api/ruoyi-api-system/src/main/java/com/ruoyi/system/api/domain/SysUser.java","com.ruoyi.system.api.domain.SysUser","com.ruoyi.common.core.web.domain.BaseEntity, com.ruoyi.common.core.annotation.Excels, com.ruoyi.common.core.xss.Xss, com.ruoyi.common.core.annotation.Excel, com.ruoyi.common.core.constant.UserConstants, com.ruoyi.common.core.web.domain.BaseEntity, com.ruoyi.common.core.annotation.Excels, com.ruoyi.common.core.xss.Xss, com.ruoyi.common.core.annotation.Excel, com.ruoyi.common.core.constant.UserConstants","7"
"RuoYi-Cloud/ruoyi-api/ruoyi-api-system/src/main/java/com/ruoyi/system/api/domain/SysDictType.java","com.ruoyi.system.api.domain.SysDictType","com.ruoyi.common.core.web.domain.BaseEntity, com.ruoyi.common.core.annotation.Excel, com.ruoyi.common.core.web.domain.BaseEntity, com.ruoyi.common.core.annotation.Excel","6"
"RuoYi-Cloud/ruoyi-api/ruoyi-api-system/src/main/java/com/ruoyi/system/api/domain/SysDept.java","com.ruoyi.system.api.domain.SysDept","com.ruoyi.common.core.web.domain.BaseEntity, com.ruoyi.common.core.web.domain.BaseEntity","5"
"RuoYi-Cloud/ruoyi-api/ruoyi-api-system/src/main/java/com/ruoyi/system/api/domain/SysDictData.java","com.ruoyi.system.api.domain.SysDictData","com.ruoyi.common.core.web.domain.BaseEntity, com.ruoyi.common.core.constant.UserConstants, com.ruoyi.common.core.annotation.Excel, com.ruoyi.common.core.web.domain.BaseEntity, com.ruoyi.common.core.constant.UserConstants, com.ruoyi.common.core.annotation.Excel","6"
"RuoYi-Cloud/ruoyi-api/ruoyi-api-system/src/main/java/com/ruoyi/system/api/domain/SysOperLog.java","com.ruoyi.system.api.domain.SysOperLog","com.ruoyi.common.core.web.domain.BaseEntity, com.ruoyi.common.core.annotation.Excel, com.ruoyi.common.core.web.domain.BaseEntity, com.ruoyi.common.core.annotation.Excel","1"
"RuoYi-Cloud/ruoyi-api/ruoyi-api-system/src/main/java/com/ruoyi/system/api/domain/SysLogininfor.java","com.ruoyi.system.api.domain.SysLogininfor","com.ruoyi.common.core.web.domain.BaseEntity, com.ruoyi.common.core.annotation.Excel, com.ruoyi.common.core.web.domain.BaseEntity, com.ruoyi.common.core.annotation.Excel","1"
"RuoYi-Cloud/ruoyi-api/ruoyi-api-system/src/main/java/com/ruoyi/system/api/RemoteLogService.java","com.ruoyi.system.api.RemoteLogService","com.ruoyi.common.core.constant.ServiceNameConstants, com.ruoyi.system.api.domain.SysLogininfor, com.ruoyi.system.api.domain.SysOperLog, com.ruoyi.system.api.factory.RemoteLogFallbackFactory, com.ruoyi.common.core.domain.R, com.ruoyi.common.core.constant.ServiceNameConstants, com.ruoyi.system.api.domain.SysLogininfor, com.ruoyi.system.api.domain.SysOperLog, com.ruoyi.system.api.factory.RemoteLogFallbackFactory, com.ruoyi.common.core.domain.R","1"
"RuoYi-Cloud/ruoyi-api/ruoyi-api-system/src/main/java/com/ruoyi/system/api/RemoteFileService.java","com.ruoyi.system.api.RemoteFileService","com.ruoyi.common.core.constant.ServiceNameConstants, com.ruoyi.system.api.domain.SysFile, com.ruoyi.system.api.factory.RemoteFileFallbackFactory, com.ruoyi.common.core.domain.R, com.ruoyi.common.core.constant.ServiceNameConstants, com.ruoyi.system.api.domain.SysFile, com.ruoyi.system.api.factory.RemoteFileFallbackFactory, com.ruoyi.common.core.domain.R","1"
"RuoYi-Cloud/ruoyi-api/ruoyi-api-system/src/main/java/com/ruoyi/system/api/RemoteUserService.java","com.ruoyi.system.api.RemoteUserService","com.ruoyi.common.core.constant.ServiceNameConstants, com.ruoyi.system.api.domain.SysUser, com.ruoyi.system.api.factory.RemoteUserFallbackFactory, com.ruoyi.system.api.model.LoginUser, com.ruoyi.common.core.domain.R, com.ruoyi.common.core.constant.ServiceNameConstants, com.ruoyi.system.api.domain.SysUser, com.ruoyi.system.api.factory.RemoteUserFallbackFactory, com.ruoyi.system.api.model.LoginUser, com.ruoyi.common.core.domain.R","1"
"RuoYi-Cloud/ruoyi-api/ruoyi-api-system/src/main/java/com/ruoyi/system/api/factory/RemoteLogFallbackFactory.java","com.ruoyi.system.api.factory.RemoteLogFallbackFactory","com.ruoyi.common.core.domain.R, com.ruoyi.common.core.domain.R","4"
"RuoYi-Cloud/ruoyi-api/ruoyi-api-system/src/main/java/com/ruoyi/system/api/factory/RemoteFileFallbackFactory.java","com.ruoyi.system.api.factory.RemoteFileFallbackFactory","com.ruoyi.common.core.domain.R, com.ruoyi.common.core.domain.R","5"
"RuoYi-Cloud/ruoyi-api/ruoyi-api-system/src/main/java/com/ruoyi/system/api/factory/RemoteUserFallbackFactory.java","com.ruoyi.system.api.factory.RemoteUserFallbackFactory","com.ruoyi.common.core.domain.R, com.ruoyi.common.core.domain.R","6"
".","com.ruoyi.system.api","com.ruoyi.common.core.web, com.ruoyi.common.core.constant, com.ruoyi.common.core, com.ruoyi.system.api.domain, com.ruoyi.system.api.factory, com.ruoyi.system.api.model, com.ruoyi.common.core.domain","7"
