ID;Smell Type;TechDebt Index;Severity;Affected Type;Affected Elements;Size;Affected Elements (complete);Incoming dependencies (Fan In);Outgoing Dependencies (Fan Out);Adaptive threshold of total fan in and fan out;Detection rule;detectionValue;detectionThreshold
14528;Hublike Dependency;110;6;Package;com.ruoyi.job.domain;9;com.ruoyi.job.domain;4;5;com.ruoyi.job.domain;Fan In + Fan Out > System's median (9);9;9
14486;Hublike Dependency;106;6;Concrete Class;com.ruoyi.common.core.utils.poi.ExcelUtil;21;com.ruoyi.common.core.utils.poi.ExcelUtil;10;10;com.ruoyi.common.core.utils.poi.ExcelUtil;Fan In + Fan Out > System's median (10);20;10
14512;Hublike Dependency;93;6;Concrete Class;com.ruoyi.gen.domain.GenTable;11;com.ruoyi.gen.domain.GenTable;6;4;com.ruoyi.gen.domain.GenTable;Fan In + Fan Out > System's median (10);10;10
14455;Unstable Dependency;90;6;Package;com.ruoyi.system.service;6;com.ruoyi.system.service;2;7;com.ruoyi.system.service;Instability gap > 20 %;0.9;0.2
14466;Unstable Dependency;51;6;Package;com.ruoyi.gateway;5;com.ruoyi.gateway;0;5;com.ruoyi.gateway;Instability gap > 20 %;1;0.2
14448;Cyclic Dependency;43;4;Package;com.ruoyi.job.util, com.ruoyi.job.service, com.ruoyi.job.domain;3;com.ruoyi.job.util, com.ruoyi.job.service, com.ruoyi.job.domain;0;0;;Cycle Detection;0;0
14440;Cyclic Dependency;31;4;Package;com.ruoyi.common.core.utils, com.ruoyi.common.core.web.page, com.ruoyi.common.core.text, com.ruoyi.common.core.utils.sql;4;com.ruoyi.common.core.utils, com.ruoyi.common.core.web.page, com.ruoyi.common.core.text, com.ruoyi.common.core.utils.sql;0;0;;Cycle Detection;0;0
14386;Cyclic Dependency;31;4;Package;com.ruoyi.job.util, com.ruoyi.job.service, com.ruoyi.job.domain;3;com.ruoyi.job.util, com.ruoyi.job.service, com.ruoyi.job.domain;0;0;;Cycle Detection;0;0
14476;Unstable Dependency;30;6;Package;com.ruoyi.gateway.service;5;com.ruoyi.gateway.service;3;7;com.ruoyi.gateway.service;Instability gap > 20 %;0.6;0.2
14359;Cyclic Dependency;21;4;Package;com.ruoyi.common.security.config, com.ruoyi.common.security.annotation, com.ruoyi.common.security.interceptor, com.ruoyi.common.security.auth;4;com.ruoyi.common.security.config, com.ruoyi.common.security.annotation, com.ruoyi.common.security.interceptor, com.ruoyi.common.security.auth;0;0;;Cycle Detection;0;0
14393;Cyclic Dependency;15;3;Package;com.ruoyi.job.util, com.ruoyi.job.service, com.ruoyi.job.mapper, com.ruoyi.job.domain;4;com.ruoyi.job.util, com.ruoyi.job.service, com.ruoyi.job.mapper, com.ruoyi.job.domain;0;0;;Cycle Detection;0;0
14415;Cyclic Dependency;15;3;Concrete Class;com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.text.Convert, com.ruoyi.common.core.utils.StringUtils;3;com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.text.Convert, com.ruoyi.common.core.utils.StringUtils;0;0;;Cycle Detection;0;0
14373;Cyclic Dependency;9;4;Package;com.ruoyi.gateway.handler, com.ruoyi.gateway.config, com.ruoyi.gateway.service;3;com.ruoyi.gateway.handler, com.ruoyi.gateway.config, com.ruoyi.gateway.service;0;0;;Cycle Detection;0;0
14367;Cyclic Dependency;8;4;Package;com.ruoyi.common.sensitive.config, com.ruoyi.common.sensitive.annotation;2;com.ruoyi.common.sensitive.config, com.ruoyi.common.sensitive.annotation;0;0;;Cycle Detection;0;0
14407;Cyclic Dependency;8;3;Concrete Class;com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.text.CharsetKit, com.ruoyi.common.core.text.Convert, com.ruoyi.common.core.utils.StringUtils;4;com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.text.CharsetKit, com.ruoyi.common.core.text.Convert, com.ruoyi.common.core.utils.StringUtils;0;0;;Cycle Detection;0;0
14434;Cyclic Dependency;7;3;Implementation;com.ruoyi.common.sensitive.annotation.Sensitive, com.ruoyi.common.sensitive.config.SensitiveJsonSerializer;2;com.ruoyi.common.sensitive.annotation.Sensitive, com.ruoyi.common.sensitive.config.SensitiveJsonSerializer;0;0;;Cycle Detection;0;0
14422;Cyclic Dependency;7;4;Concrete Class;com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.utils.StringUtils;2;com.ruoyi.common.core.text.StrFormatter, com.ruoyi.common.core.utils.StringUtils;0;0;;Cycle Detection;0;0
14428;Cyclic Dependency;7;4;Implementation;com.ruoyi.common.core.xss.XssValidator, com.ruoyi.common.core.xss.Xss;2;com.ruoyi.common.core.xss.XssValidator, com.ruoyi.common.core.xss.Xss;0;0;;Cycle Detection;0;0
