Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"Applicant.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,5,0,,0,0,0,0,,29,7,14,13,0,8,,9,10,10,0,,0,,0,,,"0,57",0
File,"AuthFilter.java",13,0,12,0,3,"0,00","0,00",0,0,,,,,1,0,0,3,,3,2,4,2,,0,0,0,2,,98,9,75,46,30,14,,44,53,39,22,,6,,2,,,"0,19",9
File,"AutoValue.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,16,2,9,8,0,5,,5,6,6,0,,0,,0,,,"0,56",0
File,"BaseEntity.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,3,0,,0,0,0,0,,38,6,25,24,0,7,,15,16,16,0,,0,,0,,,"0,28",0
File,"BaseEntity.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,3,0,,0,0,0,0,,41,7,22,21,0,12,,12,13,13,0,,0,,0,,,"0,55",0
File,"BaseRepo.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,16,4,7,6,0,5,,4,5,5,0,,0,,0,,,"0,71",0
File,"BaseRepo.java",0,0,0,0,0,"0,00","0,00",0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,16,4,7,6,0,5,,4,5,5,0,,0,,0,,,"0,71",0
File,"BaseService.java",3,0,3,0,1,"0,00","0,00",0,0,,,,,1,0,0,6,,6,6,1,6,,1,0,0,5,,40,10,24,11,6,6,,10,17,11,6,,1,,0,,,"0,25",6
File,"BaseTest.java",9,0,4,5,1,"0,00","0,00",0,0,,,,,1,0,0,1,,1,1,2,1,,0,0,0,1,,40,8,21,18,1,11,,12,14,13,1,,1,,0,,,"0,52",1
File,"CacheConfig.java",9,0,8,0,1,"0,00","0,00",0,0,,,,,2,0,0,7,,7,7,0,7,,0,0,0,7,,77,9,59,23,30,9,,33,41,22,21,,1,,0,,,"0,15",7
File,"CacheConfig.java",9,0,8,0,1,"0,00","0,00",0,0,,,,,2,0,0,9,,9,9,0,9,,2,0,0,7,,98,11,77,34,36,10,,44,54,30,27,,1,,0,,,"0,13",9
File,"CacheConfig.java",9,0,8,0,1,"0,00","0,00",0,0,,,,,2,0,0,7,,7,7,0,7,,0,0,0,7,,77,9,59,23,30,9,,33,41,22,21,,1,,0,,,"0,15",7
File,"CacheConfig.java",9,0,8,0,1,"0,00","0,00",0,0,,,,,2,0,0,7,,7,7,0,7,,0,0,0,7,,77,9,59,23,30,9,,33,41,22,21,,1,,0,,,"0,15",7
File,"CacheConfig.java",9,0,8,0,1,"0,00","0,00",0,0,,,,,2,0,0,7,,7,7,0,7,,0,0,0,7,,77,9,59,23,30,9,,33,41,22,21,,1,,0,,,"0,15",7
File,"Candidate.java",7,0,7,0,1,"0,00","0,00",0,0,,,,,1,1,0,1,,1,0,4,1,,0,0,0,1,,39,7,17,11,5,15,,12,14,10,5,,1,,0,,,"0,88",1
File,"ClientService.java",24,0,21,4,5,"0,00","0,00",0,0,,,,,1,0,0,4,,4,4,4,4,,0,0,0,4,,149,12,116,52,61,21,,67,88,46,54,,10,,2,,,"0,18",20
