"File","Dependant (Out)","Depends upon (In)","Weight"
"mall-cloud-alibaba-master/mall-portal-order/order-server/src/main/java/com/mtcarpenter/mall/portal/service/OmsPortalOrderService.java","com.mtcarpenter.mall.portal.service.OmsPortalOrderService","com.mtcarpenter.mall.common.api.CommonPage, com.mtcarpenter.mall.portal.domain.OmsOrderDetail, com.mtcarpenter.mall.portal.domain.ConfirmOrderResult, com.mtcarpenter.mall.portal.domain.OrderParam, com.mtcarpenter.mall.common.api.CommonPage, com.mtcarpenter.mall.portal.domain.OmsOrderDetail, com.mtcarpenter.mall.portal.domain.ConfirmOrderResult, com.mtcarpenter.mall.portal.domain.OrderParam","1"
"mall-cloud-alibaba-master/mall-portal-member/member-server/src/main/java/com/mtcarpenter/mall/portal/service/UmsMemberService.java","com.mtcarpenter.mall.portal.service.UmsMemberService","com.mtcarpenter.mall.model.UmsMember, com.mtcarpenter.mall.model.UmsMember","3"
"mall-cloud-alibaba-master/mall-portal-coupon/coupon-server/src/main/java/com/mtcarpenter/mall/portal/service/CouponService.java","com.mtcarpenter.mall.portal.service.CouponService","com.mtcarpenter.mall.model.SmsFlashPromotion, com.mtcarpenter.mall.model.SmsHomeAdvertise, com.mtcarpenter.mall.model.SmsFlashPromotionSession, com.mtcarpenter.mall.model.SmsCouponHistory, com.mtcarpenter.mall.model.SmsCoupon, com.mtcarpenter.mall.domain.CartPromotionItem, com.mtcarpenter.mall.domain.SmsCouponHistoryDetail, com.mtcarpenter.mall.model.SmsFlashPromotion, com.mtcarpenter.mall.model.SmsHomeAdvertise, com.mtcarpenter.mall.model.SmsFlashPromotionSession, com.mtcarpenter.mall.model.SmsCouponHistory, com.mtcarpenter.mall.model.SmsCoupon, com.mtcarpenter.mall.domain.CartPromotionItem, com.mtcarpenter.mall.domain.SmsCouponHistoryDetail","1"
"mall-cloud-alibaba-master/mall-portal-order/order-server/src/main/java/com/mtcarpenter/mall/portal/service/OmsPromotionService.java","com.mtcarpenter.mall.portal.service.OmsPromotionService","com.mtcarpenter.mall.model.OmsCartItem, com.mtcarpenter.mall.domain.CartPromotionItem, com.mtcarpenter.mall.model.OmsCartItem, com.mtcarpenter.mall.domain.CartPromotionItem","1"
"mall-cloud-alibaba-master/mall-portal-content/content-server/src/main/java/com/mtcarpenter/mall/portal/service/SubjectService.java","com.mtcarpenter.mall.portal.service.SubjectService","com.mtcarpenter.mall.model.CmsSubject, com.mtcarpenter.mall.model.CmsSubject","1"
"mall-cloud-alibaba-master/mall-portal-member/member-server/src/main/java/com/mtcarpenter/mall/portal/service/MemberCollectionService.java","com.mtcarpenter.mall.portal.service.MemberCollectionService","com.mtcarpenter.mall.model.UmsIntegrationConsumeSetting, com.mtcarpenter.mall.portal.domain.MemberProductCollection, com.mtcarpenter.mall.model.UmsIntegrationConsumeSetting, com.mtcarpenter.mall.portal.domain.MemberProductCollection","1"
"mall-cloud-alibaba-master/mall-portal-member/member-server/src/main/java/com/mtcarpenter/mall/portal/service/UmsMemberCacheService.java","com.mtcarpenter.mall.portal.service.UmsMemberCacheService","com.mtcarpenter.mall.model.UmsMember, com.mtcarpenter.mall.model.UmsMember","2"
"mall-cloud-alibaba-master/mall-portal-order/order-server/src/main/java/com/mtcarpenter/mall/portal/service/OmsCartItemService.java","com.mtcarpenter.mall.portal.service.OmsCartItemService","com.mtcarpenter.mall.model.OmsCartItem, com.mtcarpenter.mall.domain.CartPromotionItem, com.mtcarpenter.mall.domain.CartProduct, com.mtcarpenter.mall.model.OmsCartItem, com.mtcarpenter.mall.domain.CartPromotionItem, com.mtcarpenter.mall.domain.CartProduct","3"
"mall-cloud-alibaba-master/mall-portal-member/member-server/src/main/java/com/mtcarpenter/mall/portal/service/UmsMemberReceiveAddressService.java","com.mtcarpenter.mall.portal.service.UmsMemberReceiveAddressService","com.mtcarpenter.mall.model.UmsMemberReceiveAddress, com.mtcarpenter.mall.model.UmsMemberReceiveAddress","4"
"mall-cloud-alibaba-master/mall-portal-member/member-server/src/main/java/com/mtcarpenter/mall/portal/service/MemberAttentionService.java","com.mtcarpenter.mall.portal.service.MemberAttentionService","com.mtcarpenter.mall.portal.domain.MemberBrandAttention, com.mtcarpenter.mall.portal.domain.MemberBrandAttention","3"
