"File","Dependant (Out)","Depends upon (In)","Weight"
"mall-cloud-alibaba-master/mall-admin-sms/sms-server/src/main/java/com/mtcarpenter/mall/service/impl/SmsFlashPromotionProductRelationServiceImpl.java","com.mtcarpenter.mall.service.impl.SmsFlashPromotionProductRelationServiceImpl","com.mtcarpenter.mall.common.api.ResultCode, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.common.api.ResultCode, com.mtcarpenter.mall.common.api.CommonResult","3"
"mall-cloud-alibaba-master/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall/service/impl/PmsProductServiceImpl.java","com.mtcarpenter.mall.service.impl.PmsProductServiceImpl","com.mtcarpenter.mall.common.api.ResultCode, com.mtcarpenter.mall.common.api.CommonResult, com.mtcarpenter.mall.common.api.ResultCode, com.mtcarpenter.mall.common.api.CommonResult","6"
"mall-cloud-alibaba-master/mall-admin-cms/cms-server/src/main/java/com/mtcarpenter/mall/service/CmsPrefrenceAreaService.java","com.mtcarpenter.mall.service.CmsPrefrenceAreaService","com.mtcarpenter.mall.common.CmsPrefrenceAreaProductRelationInput, com.mtcarpenter.mall.model.CmsPrefrenceArea, com.mtcarpenter.mall.common.CmsPrefrenceAreaProductRelationInput, com.mtcarpenter.mall.model.CmsPrefrenceArea","3"
"mall-cloud-alibaba-master/mall-admin-cms/cms-server/src/main/java/com/mtcarpenter/mall/service/CmsSubjectService.java","com.mtcarpenter.mall.service.CmsSubjectService","com.mtcarpenter.mall.common.CmsSubjectProductRelationInput, com.mtcarpenter.mall.model.CmsSubject, com.mtcarpenter.mall.common.CmsSubjectProductRelationInput, com.mtcarpenter.mall.model.CmsSubject","3"
"mall-cloud-alibaba-master/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall/service/PmsProductService.java","com.mtcarpenter.mall.service.PmsProductService","com.mtcarpenter.mall.common.PmsProductOutput, com.mtcarpenter.mall.dto.PmsProductResult, com.mtcarpenter.mall.dto.PmsProductQueryParam, com.mtcarpenter.mall.dto.PmsProductParam, com.mtcarpenter.mall.model.PmsProduct, com.mtcarpenter.mall.common.PmsProductOutput, com.mtcarpenter.mall.dto.PmsProductResult, com.mtcarpenter.mall.dto.PmsProductQueryParam, com.mtcarpenter.mall.dto.PmsProductParam, com.mtcarpenter.mall.model.PmsProduct","1"
"mall-cloud-alibaba-master/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service/impl/UmsAdminServiceImpl.java","com.mtcarpenter.mall.service.impl.UmsAdminServiceImpl","com.mtcarpenter.mall.security.util.JwtTokenUtil, com.mtcarpenter.mall.security.util.JwtTokenUtil","1"
"mall-cloud-alibaba-master/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service/impl/UmsAdminCacheServiceImpl.java","com.mtcarpenter.mall.service.impl.UmsAdminCacheServiceImpl","com.mtcarpenter.mall.security.service.RedisService, com.mtcarpenter.mall.security.service.RedisService","1"
"mall-cloud-alibaba-master/mall-admin-oms/oms-server/src/main/java/com/mtcarpenter/mall/service/OmsOrderService.java","com.mtcarpenter.mall.service.OmsOrderService","com.mtcarpenter.mall.dto.OmsReceiverInfoParam, com.mtcarpenter.mall.dto.OmsOrderQueryParam, com.mtcarpenter.mall.dto.OmsMoneyInfoParam, com.mtcarpenter.mall.dto.OmsOrderDetail, com.mtcarpenter.mall.dto.OmsOrderDeliveryParam, com.mtcarpenter.mall.model.OmsOrder, com.mtcarpenter.mall.dto.OmsReceiverInfoParam, com.mtcarpenter.mall.dto.OmsOrderQueryParam, com.mtcarpenter.mall.dto.OmsMoneyInfoParam, com.mtcarpenter.mall.dto.OmsOrderDetail, com.mtcarpenter.mall.dto.OmsOrderDeliveryParam, com.mtcarpenter.mall.model.OmsOrder","1"
"mall-cloud-alibaba-master/mall-admin-ums/ums-server/src/main/java/com/mtcarpenter/mall/service/UmsAdminAuthService.java","com.mtcarpenter.mall.service.UmsAdminAuthService","com.mtcarpenter.mall.dto.UpdateAdminPasswordParam, com.mtcarpenter.mall.dto.UmsAdminParam, com.mtcarpenter.mall.model.UmsAdmin, com.mtcarpenter.mall.dto.UpdateAdminPasswordParam, com.mtcarpenter.mall.dto.UmsAdminParam, com.mtcarpenter.mall.model.UmsAdmin","1"
"mall-cloud-alibaba-master/mall-admin-oms/oms-server/src/main/java/com/mtcarpenter/mall/service/OmsOrderReturnApplyService.java","com.mtcarpenter.mall.service.OmsOrderReturnApplyService","com.mtcarpenter.mall.dto.OmsUpdateStatusParam, com.mtcarpenter.mall.dto.OmsOrderReturnApplyResult, com.mtcarpenter.mall.dto.OmsReturnApplyQueryParam, com.mtcarpenter.mall.model.OmsOrderReturnApply, com.mtcarpenter.mall.dto.OmsUpdateStatusParam, com.mtcarpenter.mall.dto.OmsOrderReturnApplyResult, com.mtcarpenter.mall.dto.OmsReturnApplyQueryParam, com.mtcarpenter.mall.model.OmsOrderReturnApply","1"
"mall-cloud-alibaba-master/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall/service/PmsProductAttributeService.java","com.mtcarpenter.mall.service.PmsProductAttributeService","com.mtcarpenter.mall.dto.PmsProductAttributeParam, com.mtcarpenter.mall.dto.ProductAttrInfo, com.mtcarpenter.mall.model.PmsProductAttribute, com.mtcarpenter.mall.dto.PmsProductAttributeParam, com.mtcarpenter.mall.dto.ProductAttrInfo, com.mtcarpenter.mall.model.PmsProductAttribute","2"
"mall-cloud-alibaba-master/mall-admin-pms/pms-server/src/main/java/com/mtcarpenter/mall/service/PmsProductCategoryService.java","com.mtcarpenter.mall.service.PmsProductCategoryService","com.mtcarpenter.mall.dto.PmsProductCategoryWithChildrenItem, com.mtcarpenter.mall.dto.PmsProductCategoryParam, com.mtcarpenter.mall.model.PmsProductCategory, com.mtcarpenter.mall.dto.PmsProductCategoryWithChildrenItem, com.mtcarpenter.mall.dto.PmsProductCategoryParam, com.mtcarpenter.mall.model.PmsProductCategory","1"
