Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
Ambiguous Method,"$_isMobile",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambiguous Method,"$_resizeHandler",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambiguous Method,"$_sidebarResizeHandler",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambiguous Method,"$route",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Package,"(Unnamed_Package)",0,0,0,0,0,,,,,,,,,0,0,0,,1,,0,0,,,,0,,0,0,0,0,,57,0,0,0,0,57,,0,0,0,0,,0,,0,,,"0,00",0
Unnamed Function,"(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,6,0,6,,,2,,,3,0,3,2,,,1,,,,2
Unnamed Function,"(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,5,0,5,,,0,,,3,2,3,1,,,0,,,,1
Unnamed Function,"(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,30,0,30,,,0,,,13,3,11,1,,,0,,,,8
Unnamed Function,"(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,45,0,42,,,10,,,29,12,21,8,,,3,,,,8
Public Method,"(unnamed_function_1).created",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,15,0,15,,,0,,,4,0,4,2,,,1,,,,5
Unnamed Function,"(unnamed_function_1).created.(unnamed_function_2)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,9,0,9,,,0,,,2,0,2,1,,,0,,,,3
Unnamed Function,"(unnamed_function_1).created.(unnamed_function_2).(unnamed_function_3)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,6,0,6,,,0,,,3,0,3,2,,,1,,,,2
Public Method,"(unnamed_function_1).data",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,8,0,8,,,0,,,5,1,5,2,,,1,,,,2
Unnamed Function,"(unnamed_function_2)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,42,0,37,,,8,,,16,0,16,6,,,4,,,,10
Unnamed Function,"(unnamed_function_2)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,,2,0,2,1,,,0,,,,1
Unnamed Function,"(unnamed_function_2).(unnamed_function_3)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,8,0,7,,,3,,,2,0,2,1,,,0,,,,2
Unnamed Function,"(unnamed_function_2).(unnamed_function_3).(unnamed_function_4)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,5,0,4,,,3,,,2,0,2,1,,,0,,,,1
Unnamed Function,"(unnamed_function_2).(unnamed_function_5)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,6,0,6,,,0,,,1,0,1,1,,,0,,,,2
Unnamed Function,"(unnamed_function_2).(unnamed_function_5).(unnamed_function_6)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,,2,0,2,1,,,0,,,,1
Unnamed Function,"(unnamed_function_3)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,35,0,32,,,3,,,19,2,17,7,,,4,,,,10
Unnamed Function,"(unnamed_function_3).(unnamed_function_4)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,6,0,6,,,0,,,2,0,2,1,,,0,,,,2
Unnamed Function,"(unnamed_function_3).(unnamed_function_4).(unnamed_function_5)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Unnamed Function,"(unnamed_function_3).(unnamed_function_6)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Unnamed Function,"(unnamed_function_7)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Unnamed Function,"(unnamed_function_7)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,13,0,13,,,0,,,10,1,9,4,,,3,,,,4
Public Method,"(unnamed_object).activated",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,6,0,5,,,1,,,3,0,3,2,,,1,,,,2
Public Method,"(unnamed_object).alert",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).alertError",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).alertSuccess",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).alertWarning",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).beforeDestroy",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).beforeDestroy",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).beforeMount",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).bind",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,57,7,41,,,9,,,23,9,17,3,,,1,,,,7
Public Method,"(unnamed_object).bind",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,27,0,24,,,4,,,18,8,12,1,,,0,,,,4
Public Method,"(unnamed_object).bind",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,23,0,20,,,4,,,14,5,11,1,,,0,,,,4
Public Method,"(unnamed_object).bind",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,24,0,24,,,0,,,9,1,9,3,,,1,,,,8
Unnamed Function,"(unnamed_object).bind.(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,37,7,24,,,6,,,18,7,11,2,,,1,,,,4
Unnamed Function,"(unnamed_object).bind.(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,20,0,17,,,4,,,13,6,7,1,,,0,,,,3
Unnamed Function,"(unnamed_object).bind.(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,16,0,13,,,4,,,9,3,6,1,,,0,,,,3
Unnamed Function,"(unnamed_object).bind.(unnamed_function_3)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,,2,1,1,1,,,0,,,,1
Unnamed Function,"(unnamed_object).bind.(unnamed_function_4)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,4,0,4,,,0,,,2,1,1,1,,,0,,,,1
Unnamed Function,"(unnamed_object).bind.clipboard.action.(unnamed_function_2)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0,,,0,0,0,2,,,0,,,,2
Unnamed Function,"(unnamed_object).bind.clipboard.text.(unnamed_function_1)",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,1,0,1,,,0,,,0,0,0,1,,,0,,,,1
Public Method,"(unnamed_object).closeAllPage",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).closeLeftPage",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,2,0,2,,,0,,,1,0,1,1,,,0,,,,1
Public Method,"(unnamed_object).closeLoading",,,,,,"0,00","0,00",0,0,,,,,,,,,,,,,,,,,,,,,,,3,0,3,,,0,,,1,0,1,1,,,0,,,,1
